Territory,Connections,Continent,Priority,Pixel Pair 1,Pixel Pair 2,Extra 1,Extra 2,Connection,ATW
Leicester Square,"Aldwych,Trafalgar Square,New Oxford Street,Bloomsbury,Soho East,St James",Covent Garden,23,561,240,,,,
Lloyd's of London,"Shoreditch,Barbican,St Mary Axe,The Gherkin",Tower Hamlets,24,1161,161,,,,
London Eye,Lambeth,Landmarks,25,697,492,,,,
Marylebone East,"Marylebone West,Harley Street,Mayfair,Grosvenor Square",Mayfair,26,188,148,,,,
Marylebone West,"Grosvenor Square,Marylebone East",Mayfair,27,83,174,,,,
Mayfair,"Soho West,Soho East,Great Portland Street,Marylebone East,Grosvenor Square,Harley Street,St James,Whitehall,Piccadilly",Mayfair,28,349,296,,,,
New Oxford Street,"Aldwych,Leicester Square,High Holborn,Bloomsbury,Russel Square",Clerkenwell,29,626,165,,,,
Piccadilly,"Whitehall,Grosvenor Square,Mayfair",Mayfair,30,261,386,,,,
Russel Square,"Bloomsbury,Kings Cross,High Holborn,New Oxford Street",Clerkenwell,31,663,78,,,,
Shoreditch,"Lloyd's of London,Barbican,St Luke's",Tower Hamlets,32,1170,79,,,,
Soho East,"Leicester Square,St James,Bloomsbury,Fitzrovia,Soho West,Mayfair",Mayfair,33,487,262,,,,
Soho West,"Soho East,Mayfair,Great Portland Street,Fitzrovia",Mayfair,34,419,247,,,,
Somerset House,"Fetter Lane,Temple,Chancery Lane,Aldwych,Trafalgar Square,Lambeth",Covent Garden,35,728,309,,,,
Southwark,"Tower Bridge,Bankside",Southwark,36,1276,615,,,,
St Bartholomew's Hospital,"Clerkenwell,St Luke's,Hatton Garden,Barbican,St Paul's,Fetter Lane,Guildhall",Hackney,37,944,179,,,,
St James,"Soho East,Leicester Square,Whitehall,Mayfair,Trafalgar Square",Westminster,38,445,398,,,,
St Luke's,"Clerkenwell,Shoreditch,Barbican,St Bartholomew's Hospital",Hackney,39,1069,81,,,,
St Mary Axe,"Lloyd's of London,TowerHill,Cornhill,The Gherkin",Whitechapel,40,1240,240,,,,
St Paul's,"Fetter Lane,St Bartholomew's Hospital,Blackfriars,Cannon Street,Guildhall",St Paul's Cathedral,41,950,250,,,,
Temple,"Fetter Lane,Somerset House,Blackfriars",St Paul's Cathedral,42,831,299,,,,
The Gherkin,"Barbican,Lloyd's of London,Guildhall,St Mary Axe,Cornhill,Cannon Street",Landmarks,43,1118,223,,,,
Tower Bridge,"TowerHill,Southwark,Tower of London",Landmarks,44,1274,488,,,,
Tower of London,"TowerHill,Tower Bridge,Cornhill,Cannon Street",Landmarks,45,1189,356,,,,
TowerHill,"St Mary Axe,Tower Bridge,Cornhill,Tower of London",Whitechapel,46,1302,319,,,,
Trafalgar Square,"Aldwych,Somerset House,Leicester Square,Whitehall,St James",Landmarks,47,603,383,,,,
University College London,"Fitzrovia,Bloomsbury",Clerkenwell,48,500,94,,,,
University of the Arts,"Lambeth,Buckingham Palace,Big Ben,Horse Guards Parade",Westminster,49,460,682,,,,
Whitehall,"Buckingham Palace,Piccadilly,Trafalgar Square,Big Ben,St James,Mayfair,Horse Guards Parade",Westminster,50,350,459,,,,
